-73.9994000000,40.7393000000
-73.9994000000,40.7401999102
-73.9994000000,40.7428996408
-73.9994000000,40.7437995510
-73.9994000000,40.7446994612
-73.9994000000,40.7455993715
-73.9994000000,40.7464992817
-73.9994000000,40.7473991919
-73.9961512178,40.7410998204
-73.9961512178,40.7419997306
-73.9929024357,40.7419997306
-73.9929024357,40.7428996408
-73.9929024357,40.7437995510
-73.9929024357,40.7446994612
-73.9896536535,40.7393000000
-73.9896536535,40.7401999102
-73.9896536535,40.7437995510
-73.9896536535,40.7455993715
-73.9896536535,40.7464992817
-73.9896536535,40.7473991919
